Source,Headline,Link,Sentiment Score,Sentiment Label
Google Finance,Brookfield Renewable to Issue $311 Million in Green Bonds to Fund Sustainable Investments,https://esgnews.com/brookfield-renewable-to-issue-311-million-in-green-bonds-to-fund-sustainable-investments/,0.0,Neutral
Google Finance,Are ESG Investments Actually Profitable?,https://in.benzinga.com/markets/esg/25/02/43912873/are-esg-investments-actually-profitable,0.4404,Positive
Google Finance,ESG Investing in India: Navigating Key Factors,https://www.ibef.org/blogs/esg-investing-in-india-navigating-environmental-social-and-governance-factors-for-sustainable-growth,0.0,Neutral
Google Finance,ESG Survey 2024: Investing in the sustainable transition,https://www.deutschewealth.com/en/our-capabilities/esg/what-is-esg-investing-wealth-management/ESG-survey-2024.html,0.0,Neutral
Google Finance,Exploring the Growth of ESG Mutual Funds: A Path to Sustainable Investing,https://www.bizzbuzz.news/wealth/mutual-funds/exploring-the-growth-of-esg-mutual-funds-a-path-to-sustainable-investing-1353807,0.3818,Positive
Google Finance,Why Did Wall Street Turn on ESG Investing? Charting the Rise and Fall of the Sustainability Push,https://tradebrains.in/brand/why-did-wall-street-turn-on-esg-investing-charting-the-rise-and-fall-of-the-sustainability-push/,0.0,Neutral
Google Finance,Private Market Pours Billions Into Impact Investing. It’s an ‘Undeniable Force.’,https://www.barrons.com/articles/esg-investing-impact-report-c139fad3,0.0,Neutral
Google Finance,Financial Conduct Authority hits back on defence and ESG regulations,https://www.responsible-investor.com/financial-conduct-authority-hits-back-on-defence-and-esg-regulations/,0.1779,Positive
Google Finance,"SDI AOP Launches Solution Enabling Investors to Assess Sustainability Outcomes of Companies, Portfolios",https://www.esgtoday.com/sdi-aop-launches-solution-enabling-investors-to-assess-sustainability-outcomes-of-companies-portfolios/,0.3182,Positive
Google Finance,"U.K. ESG rules don’t prevent defense investments, FCA says",https://www.pionline.com/esg/esg-rules-dont-prevent-defense-investments-uk-regulator-fca-says,0.1531,Positive
Yahoo Finance,News,https://finance.yahoo.comhttps://www.yahoo.com/,0.0,Neutral
Yahoo Finance,Life,https://finance.yahoo.comhttps://www.yahoo.com/lifestyle/,0.0,Neutral
